,Relevance,Accuracy,Coherence,Clarity,Breadth and Depth,Reading Experience,total
preds_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,85.16949152542372,69.91525423728814,57.20338983050848,61.016949152542374,64.83050847457628,55.08474576271186,65.53672316384181
preds_ws10_st50.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,87.08333333333333,73.75,59.166666666666664,60.0,67.91666666666667,54.166666666666664,67.0138888888889
preds_ws5_st50.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,83.74999999999999,64.58333333333334,53.333333333333336,53.333333333333336,60.416666666666664,46.666666666666664,60.34722222222223
